MEF,DISPOSITIF_FORMATION,FORMATION_DIPLOME,DUREE_DISPOSITIF,ANNEE_DISPOSITIF,LIBELLE_COURT,LIBELLE_LONG,DATE_OUVERTURE,DATE_FERMETURE,STATUT_MEF,MEF_INSCRIPTION_SCOLARITE,MEF_STAT_11,MEF_STAT_4,DATE_INTERVENTION,LIBELLE_EDITION,N_COMMENTAIRE,MINISTERE
2212421011,221,42024210,1,1,1BT   24210,1BT    TEC.MET.SPEC:TECHNQ.HABILLAG(DIP),1/9/97,,3,O,22123124210,2212,4/26/23,1ERE bt tecnicien des metiers du spectacle op. techniques habillage,,MENJ
2213230611,221,42032306,1,1,1BT   32306,1BT    TEC.MET.SPEC:MACHINIST.CONST(DIP),1/9/97,,3,O,22123132306,2212,4/26/23,1ERE bt tecnicien des metiers du spectacle op. machiniste constructeur,,MENJ
2222421011,222,42024210,1,1,TBT   24210,TBT    TEC.MET.SPEC:TECHNQ.HABILLAG(DIP),1/9/97,,3,O,22133124210,2213,4/26/23,TLE bt tecnicien des metiers du spectacle op. techniques habillage,,MENJ
2223230611,222,42032306,1,1,TBT   32306,TBT    TEC.MET.SPEC:MACHINIST.CONST(DIP),1/9/97,,3,O,22133132306,2213,4/26/23,TLE bt tecnicien des metiers du spectacle op. machiniste constructeur,,MENJ
2402010111,240,50020101,1,1,1CAP1 20101,1CAP1  CONDUCT. INSTALLATIONS PRODUCTION,1/9/13,,3,O,23110020101,2311,3/30/20,1cap1 conducteur d'installations de production,GH1,MENJ
2402100211,240,50021002,1,1,1CAP1 21002,1CAP1 DEVELPT: GEST.PTE EXPL.RURAL -TOM,1/9/96,,3,O,23110021002,2311,4/26/23,1cap1 develop. option : gestion de la petite exploitation rurale TOM,,MENJ
2402130311,240,50021303,1,1,1CAP1 21303,1CAP1 DEVELPT: GEST. MILIEU MARIN -TOM,1/9/96,,3,O,23110021303,2311,4/26/23,1cap1 developpent option : gestion et entretien en milieu marin TOM,,MENJ
2402130511,240,50021305,1,1,1CAP1 21305,1CAP1 MAREYAGE,1/9/95,,3,O,23110021305,2311,3/30/20,1cap1 mareyage,GH1 P,MENJ
2402200211,240,50022002,1,1,1CAP1 22002,1CAP1 EMPLOYE TECHNIQUE DE LABORATOIRE,1/9/95,,3,O,23110022002,2311,3/30/20,1cap1 employe technique de laboratoire,GH1 P,MENJ
2402200511,240,50022005,1,1,1CAP1 22005,1CAP1  PROPR.ENVIR.URBAIN-COLLEC.RECYCL,1/9/16,,3,O,23110022005,2311,3/30/20,1cap1 proprete de l'environnement urbain - collecte et recyclage,GH3,MENJ
2402213011,240,50022130,1,1,1CAP1 22130,1CAP1  CHARCUTIER-TRAITEUR,1/9/00,,3,O,23110022130,2311,3/30/20,1cap1 charcutier-traiteur,GH3 P,MENJ
2402213311,240,50022133,1,1,1CAP1 22133,1CAP1  CHOCOLATIER CONFISEUR,1/9/03,,3,O,23110022133,2311,3/30/20,1cap1 chocolatier confiseur,GH2,MENJ
2402213511,240,50022135,1,1,1CAP1 22135,1CAP1  BOUCHER,1/9/06,8/31/24,3,O,23110022135,2311,4/7/23,1cap1 boucher,GH3,MENJ
2402213711,240,50022137,1,1,1CAP1 22137,1CAP1  BOULANGER,1/9/15,,3,O,23110022137,2311,3/30/20,1cap1 boulanger,GH3,MENJ
2402213811,240,50022138,1,1,1CAP1 22138,1CAP1  GLACIER-FABRICANT,1/9/15,,3,O,23110022138,2311,3/30/20,1cap1 glacier-fabricant,GH3,MENJ
2402213911,240,50022139,1,1,1CAP1 22139,1CAP1  CUISINE,1/9/17,,3,O,23110022139,2311,3/30/20,1cap1 cuisine,GH2,MENJ
2402214011,240,50022140,1,1,1CAP1 22140,1CAP1  CREMIER-FROMAGER,1/9/19,,3,O,23110022140,2311,4/26/23,1cap1 cremier-fromager,GH2,MENJ
2402214111,240,50022141,1,1,1CAP1 22141,1CAP1  PATISSIER,1/9/20,,3,O,23110022141,2311,3/30/20,1cap1 patissier,,MENJ
2402214211,240,50022142,1,1,1CAP1 22142,1CAP1  PROD.SERV.REST. (RAPID-COLL-CAFE),1/9/21,,3,O,23110022142,2311,3/30/20,1cap1 production/service en restauration rapide- collective- cafeteria,,MENJ
2402214311,240,50022143,1,1,1CAP1 22143,1CAP1  BOUCHER,1/9/24,,3,O,23110022143,2311,4/26/23,1cap1 boucher,,MENJ
2402220111,240,50022201,1,1,1CAP1 22201,1CAP1 INDUSTRIES CHIMIQUES,1/9/95,,3,O,23110022201,2311,3/30/20,1cap1 industries chimiques,GH2 PA,MENJ
2402232411,240,50022324,1,1,1CAP1 22324,1CAP1 MOULEUR NOYAUTEUR: CUIVRE BRONZE,1/9/95,,3,O,23110022324,2311,3/30/20,1cap1 mouleur noyauteur : cuivre et bronze,GH1 P,MENJ
2402233211,240,50022332,1,1,1CAP1 22332,1CAP1 DOREUR A LA FEUILLE ORNEMANISTE,1/9/95,,3,O,23110022332,2311,3/30/20,1cap1 doreur a la feuille ornemaniste,GH1 P,MENJ
2402233911,240,50022339,1,1,1CAP1 22339,1CAP1 LAPIDAIRE OP_A : DIAMANT,1/9/95,,3,O,23110022339,2311,3/30/20,1cap1 lapidaire option A : diamant,GH1 P,MENJ
