MEF,MEF_STAT_11,MEF_STAT_4,DISPOSITIF_FORMATION,LIBELLE_LONG,BOP,FORFAIT JOURNALIER,PLAFOND MAX
2213230611,22123132306,2212,221,1BT    TEC.MET.SPEC:MACHINIST.CONST(DIP),MENJ,15,600
2213230511,22123132305,2212,221,1BT    BREVET ARTIST.TECHN. CIRQUE (DIP),MENJ,15,600
2212421011,22123124210,2212,221,1BT    TEC.MET.SPEC:TECHNQ.HABILLAG(DIP),MENJ,15,600
2223230511,22133132305,2213,222,TBT    BREVET ARTIST.TECHN. CIRQUE (DIP),MENJ,20,800
2223230611,22133132306,2213,222,TBT    TEC.MET.SPEC:MACHINIST.CONST(DIP),MENJ,20,800
2222421011,22133124210,2213,222,TBT    TEC.MET.SPEC:TECHNQ.HABILLAG(DIP),MENJ,20,800
2402331111,23110023311,2311,240,1CAP1 STAFFEUR ORNEMANISTE,MENJ,15,525
2402242011,23110022420,2311,240,1CAP1 MODELES ET MOULES CERAMIQUES,MENJ,15,525
2402341111,23110023411,2311,240,1CAP1 MENUISIER EN SIEGES,MENJ,15,525
2403222111,23110032221,2311,240,1CAP1 METIERS DE LA GRAVURE : IMPRESS.,MENJ,15,525
2403222311,23110032223,2311,240,1CAP1 MET.GRAVURE :MARQUAGE POINCONNAGE,MENJ,15,525
2403222011,23110032220,2311,240,1CAP1 METIERS DE LA GRAVURE : ORNEMENT.,MENJ,15,525
2402235411,23110022354,2311,240,1CAP1 ORFEVRE OP_D : PLANEUR EN ORFEVR.,MENJ,15,525
2402234311,23110022343,2311,240,1CAP1 LAPIDAIRE OP_B : PIERRES DE COUL.,MENJ,15,525
2402234011,23110022340,2311,240,1CAP1 ORFEVRE OP_A : MONTEUR ORFEVRERIE,MENJ,15,525
2402234111,23110022341,2311,240,1CAP1 ORFEVRE OP_B : TOURN.REPOUSSEUR,MENJ,15,525
2402233911,23110022339,2311,240,1CAP1 LAPIDAIRE OP_A : DIAMANT,MENJ,15,525
